index,latitude,longitude,primary_fuel,energy
11562,49.1679,6.866,Biomass,others
430,-20.5447,147.8049,Coal,others
21678,35.7848,10.6791,Gas,others
19488,69.323,87.951,Coal,others
3481,-29.6802,-53.7975,Oil,others
19301,56.8809,60.644,Gas,others
16333,41.3816,14.0903,Hydro,others
18618,52.6555,19.1338,Hydro,others
21347,46.2403,7.8744,Hydro,others
2939,-26.7833,-52.5,Hydro,others
19907,-28.217,28.3631,Hydro,others
13528,51.3985,11.9504,Coal,others
29274,37.8948,-86.6854,Biomass,others
4101,50.5199,-126.8755,Hydro,others
5922,33.41,104.28,Hydro,others
14624,25.8888,71.3236,Coal,others
598,-21.8967,147.9507,Gas,others
27383,46.991,-122.1749,Hydro,others
34028,43.5828,-83.8967,Gas,others
17979,59.6576,6.0967,Hydro,others
33574,33.788,-117.8901,Gas,others
2710,-23.1544,-49.38,Hydro,others
30795,35.2761,-119.5986,Gas,others
5781,24.5695,101.1765,Hydro,others
13594,53.7818,9.4258,Waste,others
26297,36.1835,-119.3743,Gas,others
34931,-15.8333,27.7667,Biomass,others
18106,61.9342,8.0307,Hydro,others
13765,52.535,12.3626,Waste,others
13838,39.2514,20.8657,Hydro,others
12661,52.5219,13.3111,Gas,others
17322,18.6421,-96.7292,Biomass,others
2647,-29.2833,-50.75,Hydro,others
27037,42.2947,-83.1019,Gas,others
27889,38.8681,-91.9478,Gas,others
17960,62.2828,6.8848,Hydro,others
17646,19.68,96.291,Hydro,others
29480,40.3317,-111.7542,Gas,others
33563,56.2164,-131.5043,Hydro,others
9374,5.2579,-4.0079,Gas,others
17630,21.81,95.589,Hydro,others
29435,41.4714,-75.5442,Gas,others
28401,20.0939,-155.4711,Oil,others
18658,39.4699,-31.1415,Hydro,others
14501,19.9306,79.12,Coal,others
25340,37.0217,-88.2211,Hydro,others
23477,53.26,-0.564,Storage,others
4883,-35.8104,-70.8357,Hydro,others
12224,48.5716,7.7678,Biomass,others
30995,43.0047,-76.1149,Waste,others
15710,-8.7157,115.214,Gas,others
18093,60.6044,9.0697,Hydro,others
12525,48.5109,9.0715,Gas,others
28882,42.161,-72.5076,Hydro,others
34129,38.7875,-94.9861,Gas,others
3633,48.8381,-91.5708,Biomass,others
5144,23.927,106.4557,Hydro,others
25061,44.5063,-70.2395,Biomass,others
17777,-38.6143,176.1825,Geothermal,others
26881,38.8206,-77.0183,Biomass,others
617,-28.8893,115.1177,Gas,others
28635,33.0007,-85.9033,Gas,others
17184,-20.2003,47.1328,Hydro,others
1178,-23.0029,-47.1249,Oil,others
3960,44.1525,-77.5819,Hydro,others
6697,37.0694,113.3526,Coal,others
3683,49.693,-121.8591,Hydro,others
13099,52.3667,9.7167,Gas,others
27764,40.0922,-104.796,Gas,others
1603,-18.8483,-48.2765,Biomass,others
27024,34.2119,-93.111,Hydro,others
13106,49.4216,8.6728,Gas,others
23263,51.3669,0.7589,Waste,others
8870,27.1567,101.4983,Hydro,others
29643,39.2038,-103.7005,Gas,others
21488,13.0013,101.1361,Gas,others
22012,52.175,-1.679,Biomass,others
708,-33.9748,151.1294,Oil,others
15294,21.8376,73.7559,Hydro,others
20141,37.6167,-4.3225,Biomass,others
9150,29.7903,119.3593,Hydro,others
15777,-3.7316,103.7975,Coal,others
6813,28.69,118.84,Hydro,others
4363,46.3216,-60.3295,Coal,others
31631,41.3755,-89.4649,Gas,others
34526,32.7214,-114.7106,Gas,others
12452,0.455,10.281,Hydro,others
17621,-15.5859,32.7047,Hydro,others
26654,41.871,-94.6808,Oil,others
3924,50.1056,-122.9448,Hydro,others
1909,-21.9943,-53.4155,Biomass,others
7072,43.86,82.847,Hydro,others
33144,37.1661,-76.6986,Nuclear,others
17909,61.7336,6.5086,Hydro,others
33173,43.1133,-89.3128,Gas,others
26402,35.1018,-85.2295,Hydro,others
29139,37.2094,-88.8589,Coal,others
828,48.244,13.006,Hydro,others
9396,44.6895,15.2706,Hydro,others
32607,38.9155,-90.2902,Coal,others
22809,58.7329,-3.3248,Wave and Tidal,others
5216,48.2328,126.5287,Coal,others
21861,0.358,32.694,Oil,others
31435,42.7645,-82.7471,Waste,others
12070,45.9602,1.6139,Hydro,others
21939,25.0595,55.1178,Gas,others
21958,25.3732,55.4611,Gas,others
21389,36.3814,38.1833,Hydro,others
34504,18.0536,-66.8837,Hydro,others
17845,39.662,125.8124,Hydro,others
25797,33.1958,-97.8025,Gas,others
2423,-10.1446,-36.5339,Biomass,others
6563,40.6246,110.0028,Coal,others
26860,47.4181,-123.2252,Hydro,others
19652,52.5296,39.6478,Gas,others
17578,32.4756,-7.6374,Hydro,others
1200,-20.0833,-51.2895,Biomass,others
23303,51.5359,-0.0056,Biomass,others
17419,18.2782,-88.683,Biomass,others
26504,43.2669,-122.4098,Hydro,others
33324,40.7931,-111.9038,Gas,others
21342,46.2042,6.1355,Hydro,others
8752,24.87,104.58,Hydro,others
17140,33.969,35.604,Oil,others
3830,49.4689,-117.4686,Hydro,others
33435,18.1664,-66.5116,Hydro,others
16720,34.5099,133.7458,Coal,others
20101,35.3271,129.3017,Nuclear,others
29414,30.4106,-91.1814,Gas,others
16687,33.3552,129.6925,Coal,others
10111,61.4991,23.7871,Hydro,others
33812,28.6958,-96.9454,Gas,others
18671,40.5983,-8.5601,Waste,others
17199,5.3803,100.3147,Gas,others
29778,37.777,-79.892,Oil,others
17858,39.4014,125.9682,Coal,others
15756,-2.5213,121.357,Coal,others
32898,41.699,-86.4797,Gas,others
16237,45.163,7.7505,Gas,others
29841,42.7044,-73.8509,Waste,others
26786,40.4627,-107.5912,Coal,others
31806,40.3122,-88.1594,Oil,others
32165,45.7131,-121.4692,Waste,others
20214,40.4153,-4.5016,Hydro,others
18412,6.1018,125.2905,Oil,others
23580,56.5419,-4.5174,Hydro,others
19456,43.0538,131.8868,Gas,others
264,-38.0495,-57.546,Gas,others
19467,55.6906,52.4758,Gas,others
19727,-1.477,29.75,Hydro,others
16025,29.5611,34.9517,Gas,others
14657,21.2384,73.3489,Nuclear,others
8157,31.4651,121.4048,Coal,others
19697,62.0598,129.7743,Gas,others
31684,33.3792,-89.2089,Gas,others
2085,-22.7096,-43.2458,Gas,others
13654,48.3801,10.9014,Gas,others
15802,-0.6909,100.6034,Hydro,others
1790,-19.7046,-50.3289,Biomass,others
17535,22.0694,-98.8469,Oil,others
3122,-15.9919,-55.0872,Hydro,others
10240,61.1272,21.5113,Biomass,others
21799,39.616,29.4429,Coal,others
1103,27.3567,91.6497,Hydro,others
25921,38.7551,-95.8368,Gas,others
18130,59.6365,11.1542,Hydro,others
17333,18.1612,-95.1866,Biomass,others
33771,18.4458,-66.3914,Gas,others
1820,-3.1423,-59.9705,Oil,others
30590,41.3556,-84.1025,Biomass,others
3282,-20.2274,-43.9564,Gas,others
34046,43.9758,-75.8747,Hydro,others
9962,-3.9833,-79.35,Oil,others
8328,30.5135,117.019,Coal,others
20153,42.8385,-6.5332,Coal,others
33687,37.6508,-120.4706,Hydro,others
30777,32.8778,-117.1978,Waste,others
6975,31.8436,120.4103,Coal,others
33461,42.1817,-92.4663,Oil,others
5063,-38.8403,-71.6608,Hydro,others
30200,39.8119,-75.249,Gas,others
24993,41.7932,-91.8918,Oil,others
21379,36.1763,37.437,Oil,others
15655,-6.9039,107.6186,Hydro,others
17501,24.4633,-105.975,Hydro,others
1762,-31.7595,-52.474,Oil,others
17860,40.3527,124.7352,Hydro,others
3974,47.0429,-67.7369,Hydro,others
32002,40.9297,-84.7392,Gas,others
32393,43.0978,-70.7842,Coal,others
25509,34.3841,-118.4949,Gas,others
15333,25.1296,75.8832,Coal,others
17544,20.839,-97.2534,Gas,others
2695,-28.7912,-50.5643,Hydro,others
21457,13.9745,100.5649,Gas,others
13807,35.488,24.0384,Gas,others
7172,37.643,113.6494,Coal,others
6788,27.8878,110.0497,Hydro,others
17394,18.8499,-98.9633,Biomass,others
4727,49.9106,-118.0718,Hydro,others
26439,32.5917,-117.0586,Gas,others
28698,34.4413,-82.3652,Oil,others
21312,46.2815,7.6953,Hydro,others
5465,29.45,102.22,Hydro,others
27478,32.3883,-90.9083,Gas,others
351,-23.5525,145.3142,Gas,others
8744,30.05,110.89,Hydro,others
31437,44.7686,-68.8617,Waste,others
3987,47.4684,-68.2354,Hydro,others
11398,42.79,0.41,Hydro,others
22320,52.9625,-2.6624,Biomass,others
34602,-34.7498,-56.5411,Gas,others
14407,19.9545,72.7478,Coal,others
13803,40.4738,22.2421,Hydro,others
22772,50.786,-1.8569,Biomass,others
21391,33.4186,36.6861,Oil,others
17624,16.78,96.131,Gas,others
709,-23.5097,150.3195,Coal,others
17445,19.7956,-90.6128,Oil,others
