index,latitude,longitude,primary_fuel
20306,38.9932,-3.5714,Solar
20307,37.3341,-3.2508,Solar
20308,37.3488,-3.2707,Solar
20309,39.8942,-5.3246,Solar
20310,37.228,-5.867,Solar
20311,39.6564,-2.8,Solar
20333,38.64,-6.744,Solar
20334,28.177,-16.445,Solar
20335,38.916,-2.55,Solar
20401,38.9594,-6.464,Solar
20336,39.87,-4.475,Solar
20338,37.0973,-5.6343,Solar
20339,37.0983,-5.6223,Solar
20340,36.84,-6.058,Solar
20341,37.2729,-7.3672,Solar
20342,38.1995,-0.8,Solar
20343,38.8952,-6.26,Solar
20344,39.4194,-2.9897,Solar
20345,38.2813,-1.51,Solar
20346,38.8459,-6.43,Solar
20353,28.1564,-16.4852,Solar
20337,37.0939,-5.6265,Solar
20402,38.8145,-6.8377,Solar
20406,38.8269,-6.824,Solar
20432,38.827,-7.022,Solar
20478,38.913,-5.7048,Solar
20479,28.1408,-16.4622,Solar
20480,39.2101,-1.75,Solar
20481,39.261,-4.087,Solar
20482,39.467,-6.51,Solar
20483,39.181,-3.314,Solar
20484,39.0041,-3.4111,Solar
20485,37.642,-1.348,Solar
20486,37.626,-1.361,Solar
20487,41.3432,-4.92,Solar
20477,39.492,-3.535,Solar
20488,42.4684,-2.2781,Solar
20490,42.26,-1.775,Solar
20491,40.062,-6.675,Solar
20492,38.301,-1.763,Solar
20493,37.4542,-4.6968,Solar
20494,37.16,-5.55,Solar
20500,38.7217,-7.1375,Solar
20501,40.319,-2.475,Solar
20502,39.619,-2.086,Solar
20503,39.6393,-2.0965,Solar
20504,39.6034,-2.0829,Solar
20489,36.7848,-4.2672,Solar
21484,10.5032,99.1452,Solar
20461,39.1838,-3.3119,Solar
20456,37.015,-2.176,Solar
20433,37.28,-7.259,Solar
20434,38.958,-2.1048,Solar
20435,39.4361,-5.9333,Solar
20436,39.4359,-5.9438,Solar
20438,41.206,-4.837,Solar
20439,41.4369,-2.5,Solar
20440,37.718,-4.89,Solar
20441,37.6057,-4.7677,Solar
20442,38.924,-3.257,Solar
20443,38.0016,-4.3197,Solar
20459,39.9687,-5.7417,Solar
20444,37.07,-6.033,Solar
20446,37.129,-3.712,Solar
20447,41.856,-0.061,Solar
20448,42.496,-2.278,Solar
20449,36.964,-6.063,Solar
20450,38.2446,-5.9657,Solar
20451,37.7336,-1.0596,Solar
20452,39.2946,-5.4885,Solar
20453,39.7199,-4.6529,Solar
20454,37.7976,-3.7977,Solar
20455,39.687,-0.852,Solar
20445,37.142,-3.715,Solar
23042,50.9636,-1.479,Solar
21485,14.936,100.936,Solar
21495,17.509,99.795,Solar
21718,37.44,30.0,Solar
21721,38.675,36.012,Solar
21722,38.228,35.041,Solar
21725,38.656,32.807,Solar
21726,37.7,28.003,Solar
21727,40.4887,34.8344,Solar
21728,37.46,32.705,Solar
21729,36.423,33.323,Solar
21730,37.1994,36.4873,Solar
21732,37.845,29.311,Solar
21733,37.868,29.078,Solar
21735,38.4198,34.6869,Solar
21741,38.789,39.861,Solar
21745,36.5465,34.1375,Solar
21747,40.923,32.71,Solar
21750,38.114,32.7823,Solar
21751,38.94,33.665,Solar
21754,37.059,37.113,Solar
21758,38.3928,34.9755,Solar
21762,38.73,27.946,Solar
21764,37.3259,35.6829,Solar
21717,37.507,30.012,Solar
21706,37.183,35.587,Solar
21700,37.3743,38.5128,Solar
21698,39.938,40.6854,Solar
21631,13.7659,100.6422,Solar
21632,13.8551,100.5417,Solar
21633,13.7132,100.48,Solar
21635,14.7922,104.8157,Solar
21636,15.2433,104.8242,Solar
21637,17.577,102.8017,Solar
21638,17.6954,102.4976,Solar
21640,14.7391,100.1331,Solar
21641,17.1824,99.1278,Solar
21642,17.18,99.1214,Solar
21765,38.7427,35.1301,Solar
21644,15.0538,100.8859,Solar
21646,15.007,104.915,Solar
21647,15.0039,104.9148,Solar
21648,15.6799,101.0486,Solar
21685,37.586,34.142,Solar
21686,37.925,38.62,Solar
21688,38.93,27.971,Solar
21690,38.729,29.265,Solar
21691,38.825,27.265,Solar
21693,38.282,32.882,Solar
21697,37.4462,37.9958,Solar
21645,15.069,104.93,Solar
21630,12.4778,99.8908,Solar
21766,38.573,35.177,Solar
21768,39.3373,33.5449,Solar
21825,38.642,26.834,Solar
21827,38.2513,34.7845,Solar
21830,37.488,30.018,Solar
21837,38.6722,35.0698,Solar
21845,38.715,39.125,Solar
21847,36.3362,33.3224,Solar
21858,0.15,31.795,Solar
21864,1.72,33.59,Solar
21865,0.631,34.111,Solar
21866,45.765,28.599,Solar
21869,48.481,29.689,Solar
21877,45.98,29.462,Solar
21878,48.466,28.453,Solar
21892,46.097,32.478,Solar
21893,45.468,28.249,Solar
21896,45.2364,33.6776,Solar
21897,44.967,33.752,Solar
21898,47.775,34.095,Solar
21899,45.28,33.6011,Solar
21900,44.958,33.923,Solar
21901,44.958,33.923,Solar
21824,38.715,26.807,Solar
21823,38.6139,39.2106,Solar
21821,38.614,39.173,Solar
21820,38.5966,39.1689,Solar
21772,37.7412,33.4837,Solar
21774,38.8115,35.2151,Solar
21775,38.709,35.334,Solar
21776,38.709,35.337,Solar
21780,37.122,30.2424,Solar
21781,38.601,28.653,Solar
21782,38.93,33.065,Solar
21785,38.165,33.211,Solar
21787,38.5272,31.6121,Solar
21791,38.162,33.1799,Solar
21767,37.24,36.8,Solar
21798,37.8219,29.2398,Solar
21803,37.9678,28.7803,Solar
21806,39.773,36.927,Solar
21807,39.2845,35.8487,Solar
21809,38.6451,27.1989,Solar
21810,38.6522,35.7591,Solar
21811,37.037,35.036,Solar
21815,40.3353,36.2349,Solar
21816,37.43,36.923,Solar
21818,39.9382,41.3985,Solar
21819,40.145,41.455,Solar
21801,39.064,36.0549,Solar
21629,11.4732,99.5965,Solar
21628,14.3345,99.7104,Solar
21625,13.8731,99.5024,Solar
21527,15.5538,102.5198,Solar
21528,14.8742,101.8093,Solar
21530,12.0473,99.829,Solar
21534,18.3931,99.4215,Solar
21536,17.304,101.8491,Solar
21537,17.1992,101.8184,Solar
21538,15.0851,101.0676,Solar
21539,14.9332,100.9352,Solar
21540,14.8895,100.9104,Solar
21541,14.7807,100.9102,Solar
21542,14.7783,100.9103,Solar
21543,14.7801,100.9044,Solar
21544,15.0497,100.8976,Solar
21545,14.9017,100.9788,Solar
21546,15.0851,101.0702,Solar
21547,15.011,100.693,Solar
21548,14.7847,100.6844,Solar
21549,20.225,99.975,Solar
21553,17.2988,104.4477,Solar
21554,17.298,104.4499,Solar
21555,16.8941,104.683,Solar
21526,15.1082,101.8871,Solar
21525,14.9991,102.495,Solar
21524,15.554,102.5163,Solar
21523,14.8181,102.1619,Solar
21496,6.9828,100.4802,Solar
21497,12.8789,100.971,Solar
21498,14.482,101.021,Solar
21500,14.3333,99.7088,Solar
21502,15.1976,105.3653,Solar
21504,14.6593,101.3946,Solar
21505,13.2753,99.7788,Solar
21506,14.7635,102.0694,Solar
21507,16.5117,102.7942,Solar
21508,16.5293,102.2753,Solar
21556,15.6191,102.5633,Solar
21509,16.8286,102.8352,Solar
21511,16.6063,102.1118,Solar
21512,16.2873,102.7906,Solar
21513,16.4802,102.507,Solar
21514,16.4999,102.3242,Solar
21515,16.114,102.7499,Solar
21516,16.5783,102.0029,Solar
21519,14.9123,101.864,Solar
21520,15.191,102.345,Solar
21521,15.1945,102.3426,Solar
21522,15.6043,102.5591,Solar
21510,16.7595,102.8063,Solar
21557,15.3671,100.301,Solar
21558,15.7386,100.1186,Solar
21559,8.3859,99.9799,Solar
21597,14.1368,100.1432,Solar
21598,14.1385,100.1506,Solar
21599,13.9842,100.1954,Solar
21600,17.5326,103.4932,Solar
