maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
22.96,5.53,14.53,41276.42,16009.93,29496.31,22.21,14.31,18.64,124.0,solar
20.57,5.79,14.06,40937.11,17631.37,28516.02,21.45,8.87,16.47,127.0,solar
26.12,11.0,18.83,44713.76,26437.4,35004.34,28.44,16.64,22.84,295.0,solar
24.36,9.63,17.8,44319.36,23609.54,33893.21,23.97,15.18,19.63,44.0,solar
24.5,9.43,16.07,44963.04,21776.87,30974.77,30.71,11.97,23.37,125.0,solar
24.31,4.2,14.45,46757.96,15122.2,31590.05,14.31,9.88,11.91,33.0,solar
28.55,10.74,20.33,47467.86,29531.49,38525.65,18.81,7.28,14.46,-67.0,solar
22.04,1.89,11.25,46048.7,7901.54,25221.46,35.14,18.17,25.49,82.0,solar
21.61,2.04,11.6,46538.55,8836.67,26407.07,35.02,19.4,25.6,50.0,solar
27.67,10.11,18.95,45894.45,25070.03,35683.84,13.43,11.38,12.47,201.0,solar
25.54,6.93,16.15,46086.08,19546.76,32291.82,24.91,17.05,20.59,4.0,solar
28.09,6.82,17.81,46800.0,19718.74,34338.5,21.72,13.09,16.55,226.0,solar
30.63,10.14,20.91,48444.4,27283.35,38352.59,27.67,11.24,20.0,741.0,solar
19.57,1.77,10.46,38122.02,7361.12,22412.13,32.94,19.17,25.05,231.0,solar
22.97,4.93,14.28,42355.53,13328.98,28299.58,24.62,12.51,19.5,361.0,solar
20.84,1.92,10.83,45836.4,9764.46,24824.42,32.51,17.56,23.67,55.0,solar
21.75,2.12,11.8,47107.5,8512.6,27075.81,32.26,18.75,24.02,18.0,solar
27.72,11.96,20.64,45965.93,27766.87,37244.05,28.2,18.18,23.68,1138.0,solar
17.09,1.46,9.77,34364.5,7395.06,22450.17,32.49,19.86,25.4,84.0,solar
28.33,7.88,18.3,46800.0,23413.32,35462.78,23.46,13.93,17.66,470.0,solar
24.31,8.6,17.43,43782.15,22645.37,33733.07,20.6,11.85,15.78,236.0,solar
21.3,2.34,11.8,45255.26,9574.51,25921.41,39.66,23.11,29.5,112.0,solar
23.18,5.33,14.54,42284.88,15236.85,29721.92,21.13,12.46,16.7,97.0,solar
