maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
23.54,11.73,18.46,39534.34,13063.24,34288.96,28.27,14.07,19.0,130.0,solar
25.44,8.71,17.49,46598.2,22877.7,33795.27,21.47,13.35,16.93,224.0,solar
21.75,2.12,11.8,47107.5,8512.6,27075.81,32.26,18.75,24.02,3.0,solar
24.96,14.2,20.01,41109.75,18419.17,33937.26,33.23,16.35,21.16,508.0,solar
23.29,2.78,12.15,44832.3,9864.3,25833.46,28.2,13.75,20.5,193.0,solar
27.22,6.71,17.7,48351.3,22705.33,36604.7,25.17,16.74,21.64,56.0,solar
22.12,2.22,11.84,48775.5,9316.98,26847.81,35.62,20.99,26.55,241.0,solar
23.5,13.98,19.38,40398.69,18012.48,33841.03,31.87,14.35,19.82,568.0,solar
21.8,10.66,16.81,37224.86,10138.47,30451.23,21.87,11.32,15.01,67.0,solar
23.86,13.97,18.51,39932.41,14663.17,31919.7,23.85,11.43,16.31,225.0,solar
25.48,4.46,15.43,48810.35,16362.48,33631.05,17.63,12.67,15.16,213.0,solar
20.32,2.14,11.02,41654.05,9071.05,24538.68,34.38,19.68,25.19,141.0,solar
23.2,11.1,18.58,39355.23,11355.0,34217.7,29.37,16.11,20.48,232.0,solar
20.29,1.55,10.74,42266.09,8206.29,24690.31,36.42,22.1,27.49,41.0,solar
23.42,2.11,11.99,49059.01,9214.7,27218.84,35.14,17.92,26.07,73.0,solar
21.5,2.31,11.77,44963.74,10051.04,26247.11,38.22,22.34,28.24,120.0,solar
21.62,2.24,11.92,41884.26,10121.96,26581.4,35.11,17.66,25.33,28.0,solar
21.94,1.91,11.44,42559.17,7993.22,24996.33,36.12,18.57,26.38,166.0,solar
27.22,3.93,16.24,49670.85,12954.69,33941.09,26.97,13.25,21.09,202.0,solar
26.92,6.87,17.62,48234.29,24301.78,36256.94,20.71,12.69,16.73,252.0,solar
21.2,1.86,11.44,40768.17,7461.2,25239.52,36.29,17.95,26.47,123.0,solar
25.91,6.78,16.58,47909.16,22165.37,35115.16,7.84,5.7,6.99,660.0,solar
24.56,14.95,20.03,41006.47,27794.14,35163.12,20.28,11.72,15.2,57.0,solar
27.65,9.65,19.37,47135.45,27352.96,37685.06,17.94,8.68,11.88,628.0,solar
25.08,3.14,15.02,48393.38,9372.22,31945.74,27.94,17.25,21.36,-23.0,solar
26.21,6.23,16.69,47645.47,21023.39,34772.67,26.56,13.83,19.16,371.0,solar
24.51,2.33,12.95,49205.84,10016.78,29102.96,40.8,21.81,29.3,5.0,solar
22.92,2.2,12.04,48378.57,9679.36,27557.68,33.48,18.39,24.61,30.0,solar
22.58,2.04,12.0,44844.36,9672.29,27798.41,37.24,19.05,27.05,29.0,solar
