index,latitude,longitude,primary_fuel
29147,46.5725,-109.7531,Wind
29149,44.4231,-96.4458,Wind
6655,44.1236,121.3647,Wind
6863,42.8722,119.17,Wind
34381,33.4953,-98.5,Wind
6649,42.3402,123.9705,Wind
34380,35.0542,-118.3547,Wind
28726,32.214,-100.0571,Wind
28725,33.35,-99.54,Wind
28724,43.3864,-111.7264,Wind
34369,41.47,-94.3394,Wind
34370,41.2353,-75.7531,Wind
34371,44.6694,-87.6333,Wind
34372,44.0236,-96.0789,Wind
6335,45.8378,132.9553,Wind
6656,44.1816,121.778,Wind
6864,42.5458,113.9497,Wind
6647,43.8931,123.5714,Wind
427,-31.5432,118.4566,Wind
34374,35.0522,-118.3581,Wind
426,-38.2835,141.9547,Wind
6333,46.057,130.648,Wind
6332,44.7333,130.9167,Wind
34377,43.9578,-95.1306,Wind
420,-33.5086,138.1192,Wind
6334,46.0685,130.5818,Wind
28729,45.5855,-120.0082,Wind
6657,44.2078,121.4703,Wind
6862,41.86,113.39,Wind
7054,44.2167,122.0333,Wind
29156,43.6181,-95.4172,Wind
6667,43.081,88.7558,Wind
29157,44.0197,-96.1183,Wind
29158,43.6292,-95.4169,Wind
34383,45.7269,-120.8339,Wind
28671,42.2125,-72.8713,Wind
34307,34.591,-95.1918,Wind
265,-39.2291,-62.6497,Wind
7055,45.1144,123.9238,Wind
6326,46.7431,130.8577,Wind
27961,42.2244,-93.3736,Wind
7056,44.9308,125.0414,Wind
7057,45.6167,122.8167,Wind
27946,43.1016,-89.3319,Wind
7058,45.6167,122.8167,Wind
7059,45.02,121.38,Wind
6666,43.0639,88.595,Wind
29153,45.9215,-120.2355,Wind
7053,44.2167,124.0003,Wind
7052,44.1667,123.9833,Wind
6489,39.6417,114.7297,Wind
6659,44.2661,121.3953,Wind
6660,44.6119,122.7686,Wind
34308,35.2919,-102.3031,Wind
6661,44.5708,122.7111,Wind
7044,44.1982,123.8661,Wind
29150,42.0989,-94.2692,Wind
7045,44.1623,123.5919,Wind
6658,43.2867,122.2511,Wind
6662,44.5531,122.67,Wind
6663,44.55,122.78,Wind
6664,44.5078,122.7781,Wind
7048,45.16,123.31,Wind
7049,45.22,123.38,Wind
27971,33.9053,-116.5825,Wind
6327,47.73,129.811,Wind
6665,44.5147,122.9178,Wind
7050,45.616,123.942,Wind
7047,45.2764,123.5022,Wind
28730,47.4983,-111.4392,Wind
6646,43.9064,123.7819,Wind
6336,46.7,130.2833,Wind
6873,41.8167,113.6083,Wind
6349,41.9181,122.0611,Wind
28346,32.2403,-101.4736,Wind
6630,36.8014,121.5222,Wind
6631,37.2548,118.959,Wind
6632,37.2845,118.8707,Wind
6633,36.1158,118.7694,Wind
6872,41.679,110.646,Wind
6871,41.4645,113.5807,Wind
6637,31.7005,121.605,Wind
34586,-34.6698,-56.8018,Wind
34587,-34.6346,-56.5865,Wind
6870,41.5342,106.9903,Wind
6638,31.737,121.527,Wind
505,-33.9078,120.1297,Wind
6869,41.5356,106.9533,Wind
6868,41.143,112.6233,Wind
6874,44.0422,122.6869,Wind
6875,42.9817,120.8933,Wind
6350,41.9181,122.0944,Wind
6876,44.2128,122.8542,Wind
6879,45.4383,119.7314,Wind
6626,37.282,108.502,Wind
6627,38.0492,118.4642,Wind
28134,37.7692,-121.6302,Wind
29066,27.32,-99.0,Wind
6992,25.5636,101.2489,Wind
28132,32.7021,-116.3546,Wind
28129,31.9519,-100.7914,Wind
488,-34.6149,149.4597,Wind
6628,38.01,118.53,Wind
6629,37.6008,120.9392,Wind
28119,43.0181,-105.8353,Wind
28110,46.9641,-101.8165,Wind
29067,27.44,-98.91,Wind
28101,42.862,-95.772,Wind
29072,44.0578,-95.2525,Wind
28100,43.5639,-89.1481,Wind
6877,44.2328,122.8539,Wind
6878,45.3672,119.5936,Wind
6867,46.3667,122.1,Wind
6346,46.2377,129.751,Wind
29080,44.4669,-71.225,Wind
6865,42.5319,115.3789,Wind
34528,35.0772,-118.3811,Wind
6642,40.1967,114.1509,Wind
6643,39.0667,112.675,Wind
6644,43.8917,123.6486,Wind
28741,42.3153,-77.5383,Wind
6645,43.8956,123.7075,Wind
440,-34.805,149.4001,Wind
464,-30.4882,115.3768,Wind
29092,44.425,-117.2739,Wind
439,-37.1216,143.1537,Wind
438,-34.5165,149.5425,Wind
6339,45.282,129.841,Wind
29097,42.5437,-73.2926,Wind
239,-37.4309,-64.716,Wind
6338,45.423,132.058,Wind
6337,47.6639,129.6681,Wind
34368,41.9611,-73.1408,Wind
34363,47.1333,-100.7011,Wind
7061,45.3792,122.3494,Wind
468,-33.8927,121.7778,Wind
28747,37.7722,-104.8322,Wind
484,-35.0507,117.7638,Wind
29081,44.8889,-74.1033,Wind
34340,45.6533,-119.9914,Wind
6640,38.7036,112.4244,Wind
28051,44.6617,-73.07,Wind
6345,46.268,129.731,Wind
6866,41.6417,109.9389,Wind
6641,39.4119,111.8528,Wind
469,-33.8802,121.769,Wind
28750,42.2611,-70.8564,Wind
6343,46.2601,129.5217,Wind
6342,45.449,131.999,Wind
34343,44.3819,-117.2731,Wind
29087,39.3822,-74.4475,Wind
6341,47.9094,130.6655,Wind
29089,44.4278,-96.43,Wind
34344,33.3454,-99.6243,Wind
34588,-34.2862,-54.0603,Wind
6344,46.1007,130.0454,Wind
32320,26.126,-97.3776,Wind
595,-37.655,144.1913,Wind
29245,33.1431,-98.1611,Wind
32986,33.3596,-103.2506,Wind
3356,-10.606,-40.6544,Wind
3355,-10.5196,-40.6114,Wind
3354,-10.6277,-40.6855,Wind
3353,-10.5833,-40.6374,Wind
32993,45.4822,-67.9944,Wind
31416,40.9992,-88.0562,Wind
31414,57.7869,-152.4406,Wind
31412,42.7975,-114.9986,Wind
4951,-31.0773,-71.6578,Wind
32994,45.615,-67.971,Wind
4986,-31.2345,-71.6404,Wind
3352,-3.8552,-41.1323,Wind
31408,39.6189,-90.8461,Wind
33012,45.8658,-109.4766,Wind
3351,-32.4145,-52.3729,Wind
3307,-5.0872,-35.887,Wind
33022,44.1044,-96.1267,Wind
33024,44.19,-85.2983,Wind
33027,40.0311,-78.8153,Wind
4984,-29.3662,-71.0585,Wind
33028,42.7676,-78.4158,Wind
32983,32.9264,-101.6478,Wind
31434,43.5243,-84.6968,Wind
3365,-8.8025,-36.7579,Wind
3364,-8.8681,-36.7471,Wind
3363,-8.8465,-36.7302,Wind
3362,-8.8338,-36.7602,Wind
31464,44.7773,-68.5234,Wind
3361,-8.8451,-36.7697,Wind
31461,42.7282,-105.8668,Wind
3360,-8.7969,-36.7338,Wind
31459,40.4641,-88.0215,Wind
3357,-10.5696,-40.6286,Wind
3359,-8.8099,-36.7487,Wind
3358,-7.3047,-40.53,Wind
32978,42.8072,-78.8617,Wind
32979,42.8167,-78.8675,Wind
31452,35.0268,-118.2233,Wind
31451,35.0434,-118.2118,Wind
31449,39.445,-79.03,Wind
32980,40.0489,-96.9522,Wind
31439,35.248,-118.1754,Wind
32981,26.9417,-97.6425,Wind
31457,43.4839,-92.6131,Wind
33030,42.6878,-95.405,Wind
31382,43.7578,-83.2978,Wind
33031,42.8417,-95.405,Wind
5065,-34.0448,-71.6108,Wind
5066,-34.0427,-71.6223,Wind
31315,45.7119,-120.125,Wind
